,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR,Gol_Average_Home,Dif_Home,Rojas_Home,Puntos_Home,Goles_Marcados_Home,Gol_Average_Away,Dif_Away,Rojas_Away,Puntos_Away,Goles_Marcados_Away
225,SP1,04/02/2024,Villarreal,Cadiz,0,0,0,0,19,8,4,2,3,1,0,0,D,-0.5454545454545454,0.12121212121212122,0.18181818181818182,23.0,1.5,-0.7272727272727273,0.03463203463203457,0.2727272727272727,16.0,0.6818181818181818
226,SP1,04/02/2024,Osasuna,Celta,0,3,0,2,18,6,1,5,2,0,0,0,A,-0.3181818181818182,-0.03246753246753248,0.18181818181818182,26.0,1.1818181818181819,-0.5,-0.023809523809523836,0.18181818181818182,17.0,0.9545454545454546
227,SP1,04/02/2024,Betis,Getafe,1,1,1,1,9,11,3,2,7,4,0,0,D,0.045454545454545456,0.045454545454545456,0.09090909090909091,34.0,1.1363636363636365,-0.09090909090909091,-0.09090909090909091,0.3181818181818182,29.0,1.2727272727272727
228,SP1,04/02/2024,Real Madrid,Ath Madrid,1,1,1,0,17,10,4,5,0,5,0,0,D,1.5,0.023809523809523725,0.09090909090909091,57.0,2.1363636363636362,0.9090909090909091,0.0043290043290042934,0.13636363636363635,47.0,2.0
229,SP1,05/02/2024,Vallecano,Sevilla,1,2,1,2,22,10,5,6,2,2,0,0,A,-0.4090909090909091,-0.028138528138528185,0.13636363636363635,24.0,0.8636363636363636,-0.4090909090909091,0.01948051948051943,0.18181818181818182,17.0,1.2272727272727273
230,SP1,09/02/2024,Cadiz,Betis,0,2,0,1,14,13,5,5,1,1,0,0,A,-0.6956521739130435,0.031620553359683834,0.2608695652173913,17.0,0.6521739130434783,0.043478260869565216,-0.0019762845849802396,0.08695652173913043,35.0,1.1304347826086956
231,SP1,10/02/2024,Alaves,Villarreal,1,1,1,1,17,12,4,4,0,2,0,0,D,-0.30434782608695654,-0.07707509881422928,0.043478260869565216,26.0,1.0,-0.5217391304347826,0.02371541501976282,0.17391304347826086,24.0,1.434782608695652
232,SP1,10/02/2024,Sociedad,Osasuna,0,1,0,0,21,9,3,2,0,0,0,0,A,0.4782608695652174,-0.021739130434782594,0.043478260869565216,37.0,1.391304347826087,-0.43478260869565216,-0.11660079051383399,0.17391304347826086,26.0,1.1304347826086956
233,SP1,10/02/2024,Real Madrid,Girona,4,0,2,0,16,5,6,0,1,2,0,0,H,1.434782608695652,-0.0652173913043479,0.08695652173913043,58.0,2.0869565217391304,1.173913043478261,-0.05335968379446632,0.043478260869565216,56.0,2.260869565217391
234,SP1,10/02/2024,Las Palmas,Valencia,2,0,0,0,8,7,3,1,2,0,0,0,H,0.13043478260869565,-0.005928853754940705,0.13043478260869565,32.0,1.0,0.08695652173913043,0.04150197628458498,0.17391304347826086,35.0,1.2608695652173914
235,SP1,11/02/2024,Getafe,Celta,3,2,2,0,11,9,4,4,1,2,0,0,H,-0.08695652173913043,0.003952569169960479,0.30434782608695654,30.0,1.2608695652173914,-0.34782608695652173,0.15217391304347827,0.17391304347826086,20.0,1.0434782608695652
236,SP1,11/02/2024,Mallorca,Vallecano,2,1,0,0,8,11,5,4,4,0,0,0,H,-0.4782608695652174,-0.16007905138339923,0.08695652173913043,20.0,0.8260869565217391,-0.43478260869565216,-0.025691699604743046,0.13043478260869565,24.0,0.8695652173913043
237,SP1,11/02/2024,Sevilla,Ath Madrid,1,0,1,0,10,16,6,5,2,1,0,0,H,-0.34782608695652173,0.06126482213438739,0.17391304347826086,20.0,1.2608695652173914,0.8695652173913043,-0.03952569169960474,0.13043478260869565,48.0,1.9565217391304348
238,SP1,11/02/2024,Barcelona,Granada,3,3,1,1,11,11,6,5,1,2,0,0,D,0.7391304347826086,0.05731225296442688,0.08695652173913043,50.0,2.0434782608695654,-0.9565217391304348,0.04347826086956519,0.17391304347826086,12.0,1.0
239,SP1,12/02/2024,Almeria,Ath Bilbao,0,0,0,0,10,12,4,4,4,1,1,0,D,-1.2608695652173914,0.011857707509881354,0.043478260869565216,6.0,0.9565217391304348,0.9130434782608695,0.1403162055335968,0.08695652173913043,45.0,1.826086956521739
240,SP1,16/02/2024,Villarreal,Getafe,1,1,0,1,20,11,7,2,0,1,0,0,D,-0.5,0.021739130434782594,0.16666666666666666,25.0,1.4166666666666667,-0.041666666666666664,0.04528985507246377,0.2916666666666667,33.0,1.3333333333333333
241,SP1,17/02/2024,Ath Madrid,Las Palmas,5,0,2,0,13,11,7,2,2,2,0,0,H,0.7916666666666666,-0.0778985507246377,0.125,48.0,1.875,0.20833333333333334,0.0778985507246377,0.125,35.0,1.0416666666666667
242,SP1,17/02/2024,Osasuna,Cadiz,2,0,0,0,11,5,4,1,4,2,0,0,H,-0.375,0.05978260869565216,0.16666666666666666,29.0,1.125,-0.75,-0.05434782608695654,0.25,17.0,0.625
243,SP1,17/02/2024,Celta,Barcelona,1,2,0,1,13,14,4,4,2,4,0,0,A,-0.375,-0.02717391304347827,0.16666666666666666,20.0,1.0833333333333333,0.7083333333333334,-0.030797101449275277,0.08333333333333333,51.0,2.0833333333333335
244,SP1,17/02/2024,Valencia,Sevilla,0,0,0,0,14,1,4,1,0,1,0,0,D,0.0,-0.08695652173913043,0.16666666666666666,35.0,1.2083333333333333,-0.2916666666666667,0.056159420289855044,0.16666666666666666,23.0,1.25
