Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
US Open,04/09/2020,Grand Slam,Outdoor,Hard,2nd Round,O Connell C.,Medvedev D.,116.0,5.0,498.0,5890.0,3.0,6.0,2.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
US Open,04/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Auger-Aliassime F.,Murray A.,21.0,115.0,1806.0,502.0,6.0,2.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,04/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Evans D.,Moutet C.,31.0,77.0,1384.0,722.0,6.0,4.0,3.0,6.0,6.0,7.0,6.0,7.0,,,1.0,3.0,0.0
US Open,04/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Davidovich Fokina A.,Norrie C.,99.0,76.0,627.0,727.0,7.0,6.0,4.0,6.0,6.0,2.0,6.0,1.0,,,3.0,1.0,1.0
US Open,04/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Goffin D.,Krajinovic F.,10.0,26.0,2555.0,1503.0,6.0,1.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,04/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Kukushkin M.,Thompson J.,90.0,63.0,661.0,829.0,5.0,7.0,4.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
US Open,04/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Berankis R.,Carreno Busta P.,65.0,27.0,809.0,1500.0,4.0,6.0,3.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
US Open,04/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Shapovalov D.,Fritz T.,17.0,25.0,2075.0,1545.0,3.0,6.0,6.0,3.0,4.0,6.0,7.0,6.0,6.0,2.0,3.0,2.0,1.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Zverev A.,Mannarino A.,7.0,39.0,3630.0,1191.0,6.0,7.0,6.0,4.0,6.0,2.0,6.0,2.0,,,3.0,1.0,1.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Struff J.L.,Djokovic N.,29.0,1.0,1405.0,10860.0,3.0,6.0,3.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Coric B.,Tsitsipas S.,32.0,6.0,1355.0,5095.0,6.0,7.0,6.0,4.0,4.0,6.0,7.0,5.0,7.0,6.0,3.0,2.0,1.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Rublev A.,Caruso S.,14.0,100.0,2234.0,623.0,6.0,0.0,6.0,4.0,6.0,0.0,,,,,3.0,0.0,1.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Medvedev D.,Wolf J.J.,5.0,138.0,5890.0,402.0,6.0,3.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,1.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Bautista Agut R.,Pospisil V.,11.0,94.0,2540.0,642.0,5.0,7.0,6.0,2.0,6.0,4.0,3.0,6.0,2.0,6.0,2.0,3.0,0.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Khachanov K.,De Minaur A.,16.0,28.0,2120.0,1485.0,4.0,6.0,6.0,0.0,6.0,4.0,3.0,6.0,1.0,6.0,2.0,3.0,0.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Berrettini M.,Ruud C.,8.0,37.0,2940.0,1279.0,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,1.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Auger-Aliassime F.,Moutet C.,21.0,77.0,1806.0,722.0,6.0,1.0,6.0,0.0,6.0,4.0,,,,,3.0,0.0,1.0
US Open,05/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Tiafoe F.,Fucsovics M.,82.0,66.0,700.0,787.0,6.0,2.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,1.0
US Open,06/09/2020,Grand Slam,Outdoor,Hard,3rd Round,Thiem D.,Cilic M.,3.0,38.0,7135.0,1225.0,6.0,2.0,6.0,2.0,3.0,6.0,6.0,3.0,,,3.0,1.0,1.0
US Open,06/09/2020,Grand Slam,Outdoor,Hard,4th Round,Davidovich Fokina A.,Zverev A.,99.0,7.0,627.0,3630.0,2.0,6.0,2.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
US Open,06/09/2020,Grand Slam,Outdoor,Hard,4th Round,Carreno Busta P.,Djokovic N.,27.0,1.0,1500.0,10860.0,6.0,5.0,,,,,,,,,0.0,0.0,1.0
US Open,07/09/2020,Grand Slam,Outdoor,Hard,4th Round,Thompson J.,Coric B.,63.0,32.0,829.0,1355.0,5.0,7.0,1.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
US Open,07/09/2020,Grand Slam,Outdoor,Hard,4th Round,Goffin D.,Shapovalov D.,10.0,17.0,2555.0,2075.0,7.0,6.0,3.0,6.0,4.0,6.0,3.0,6.0,,,1.0,3.0,0.0
US Open,07/09/2020,Grand Slam,Outdoor,Hard,4th Round,De Minaur A.,Pospisil V.,28.0,94.0,1485.0,642.0,7.0,6.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,1.0
US Open,07/09/2020,Grand Slam,Outdoor,Hard,4th Round,Thiem D.,Auger-Aliassime F.,3.0,21.0,7135.0,1806.0,7.0,6.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,1.0
US Open,08/09/2020,Grand Slam,Outdoor,Hard,4th Round,Berrettini M.,Rublev A.,8.0,14.0,2940.0,2234.0,6.0,4.0,3.0,6.0,3.0,6.0,3.0,6.0,,,1.0,3.0,0.0
US Open,08/09/2020,Grand Slam,Outdoor,Hard,4th Round,Medvedev D.,Tiafoe F.,5.0,82.0,5890.0,700.0,6.0,4.0,6.0,1.0,6.0,0.0,,,,,3.0,0.0,1.0
US Open,08/09/2020,Grand Slam,Outdoor,Hard,Quarterfinals,Coric B.,Zverev A.,32.0,7.0,1355.0,3630.0,6.0,1.0,6.0,7.0,6.0,7.0,3.0,6.0,,,1.0,3.0,0.0
US Open,09/09/2020,Grand Slam,Outdoor,Hard,Quarterfinals,Carreno Busta P.,Shapovalov D.,27.0,17.0,1500.0,2075.0,3.0,6.0,7.0,6.0,7.0,6.0,0.0,6.0,6.0,3.0,3.0,2.0,1.0
US Open,09/09/2020,Grand Slam,Outdoor,Hard,Quarterfinals,Rublev A.,Medvedev D.,14.0,5.0,2234.0,5890.0,6.0,7.0,3.0,6.0,6.0,7.0,,,,,0.0,3.0,0.0
