,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,labeled Home,labeled Away,Basket_Average_Home,Dif_Home,Basket_Average_Away,Dif_Away
6547,633,2022-04-12,52100101,Final,1610612751,1610612739,2021,1610612751,115.0,0.536,0.667,0.321,33.0,43.0,1610612739,108.0,0.446,0.85,0.346,26.0,40.0,1,14,2,10.5,-9.833333333333329,-16.0,-16.0
6546,634,2022-04-12,52100121,Final,1610612750,1610612746,2021,1610612750,109.0,0.434,0.622,0.4,19.0,49.0,1610612746,104.0,0.436,0.741,0.457,19.0,39.0,1,13,9,-1.6666666666666572,0.7333333333333485,-8.0,-8.0
6545,635,2022-04-10,22101216,Final,1610612751,1610612754,2021,1610612751,134.0,0.642,0.88,0.364,30.0,50.0,1610612754,126.0,0.452,0.684,0.413,32.0,30.0,1,14,17,6.599999999999994,-3.9000000000000057,0.0,0.0
6544,636,2022-04-10,22101217,Final,1610612766,1610612764,2021,1610612766,124.0,0.539,0.714,0.545,34.0,48.0,1610612764,108.0,0.447,0.615,0.348,25.0,43.0,1,29,27,-12.0,-12.0,0.0,0.0
6543,637,2022-04-10,22101218,Final,1610612739,1610612749,2021,1610612739,133.0,0.543,0.706,0.5,39.0,48.0,1610612749,115.0,0.443,0.781,0.4,27.0,41.0,1,2,12,-10.0,6.0,-4.0,-0.09090909090909349
6542,638,2022-04-10,22101221,Final,1610612745,1610612737,2021,1610612745,114.0,0.461,0.75,0.37,24.0,34.0,1610612737,130.0,0.517,0.792,0.553,29.0,50.0,0,8,0,0.0,0.0,-3.714285714285708,-2.3809523809523796
6541,639,2022-04-10,22101223,Final,1610612763,1610612738,2021,1610612763,110.0,0.382,0.63,0.319,27.0,45.0,1610612738,139.0,0.545,1.0,0.375,34.0,56.0,0,26,1,6.75,-1.068181818181813,8.291666666666671,0.2916666666666714
6540,640,2022-04-10,22101226,Final,1610612752,1610612761,2021,1610612752,105.0,0.46,0.833,0.349,32.0,48.0,1610612761,94.0,0.391,0.909,0.286,27.0,43.0,1,15,24,0.0,0.0,8.166666666666671,1.7666666666666657
6539,641,2022-04-10,22101227,Final,1610612753,1610612748,2021,1610612753,125.0,0.495,0.857,0.397,33.0,48.0,1610612748,111.0,0.426,0.75,0.38,20.0,47.0,1,16,11,0.0,0.0,-2.2777777777777857,0.7222222222222143
6538,642,2022-04-10,22101228,Final,1610612755,1610612765,2021,1610612755,118.0,0.523,0.913,0.2,25.0,42.0,1610612765,106.0,0.458,0.655,0.324,26.0,42.0,1,18,28,-2.666666666666657,0.969696969696983,0.0,0.0
